2020-05-27T15:46:47.015Z|7aa4d644abb84fb4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|19.711|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:12.018Z|7add708320a1903d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|20.806|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.241Z|2d2d92a639af20  |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|401|12|-|244.755|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.311Z|2fd62b801158e863|::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|12.070|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.410Z|518d6a7b517f9e3c|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|82.437|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.646Z|734332454dbbdb32|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|225.424|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.903Z|67f906a931715e35|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|404|74|-|46.154|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:47:37.926Z|76769a91755e14b7|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|73.965|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:48:02.009Z|1486e9e5e2d53698|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|7.723|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:48:27.010Z|20ae3438bc698fd8|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|8.638|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:48:52.012Z|63bd8e6f7443660c|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|7.946|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:49:17.012Z|54b86124093de499|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|6.731|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:49:42.015Z|7f5924347cd5043e|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|8.521|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:50:07.016Z|6d4c7ec15f7f9c21|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|7.802|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:50:32.014Z|436971abc529aa11|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|6.240|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-27T15:50:57.016Z|4e9bb276c62190f1|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|6.324|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
